knn_feature,knn_importance,lr_feature,lr_coefficient,lr_p_value,lr_t_value,lr_std_err,tree_feature,tree_importance,nn_feature,nn_importance
BedroomAbvGr,1.460075497931999,KitchenAbvGr,-19806.626994301296,0.0026190837594560995,-3.0234073069133918,6551.094504869064,OpenPorchSF,0.0072604733754093225,OverallQual,0.001437429189286321
MiscVal,1.4554784073062177,GarageArea,36.94655044773527,0.0057040552345566705,2.775509502688493,13.31162815762189,GarageYrBlt,0.006508600462539475,LowQualFinSF,0.001394405982636493
FullBath,1.3727279875008684,1stFlrSF,21.380673684275962,0.00688354063370394,2.712930192940699,7.881026109669352,MasVnrArea,0.005855614574299639,FireplaceQu,0.0010821455765537059
LowQualFinSF,1.2792546048232976,Functional,4907.900426310668,0.007773701625796856,2.6718166302021835,1836.9151426156345,MSSubClass,0.005393896587046387,BsmtFinSF2,0.0010637834070637343
BsmtFinSF1,1.204043650426751,ScreenPorch,51.74070343548615,0.009836520194332666,2.590783253635109,19.971066032980236,GarageCars,0.00532311261117711,PoolArea,0.0010019319838754925
PoolQC,1.1598379577387479,MasVnrArea,19.504279065032627,0.01176796000066555,2.527685468501806,7.716260313271129,FireplaceQu,0.004151472285939333,HeatingQC,0.000778481105607598
ExterQual,1.1516796097675688,YearBuilt,234.64825150476082,0.012850339072378801,2.49625955788299,93.9999411374351,WoodDeckSF,0.003906320595010195,ScreenPorch,0.0006623775914970543
OverallCond,1.0464218059810408,BsmtCond,-8350.899534636097,0.01314651950902658,-2.488070438970271,3356.375850071293,2ndFlrSF,0.003547698579537311,KitchenQual,0.0006486968490302836
GarageCars,1.0179294985267562,3SsnPorch,87.87279068120034,0.01633960296944805,2.408840854059052,36.47928443804373,HeatingQC,0.003532874640470907,BsmtQual,0.0005664846617188468
YearBuilt,0.983312956801219,PoolQC,-24484.177724406196,0.07217947312714709,-1.8015410611226121,13590.685359760342,BsmtFinSF2,0.003474671992421753,GarageFinish,0.0005662738904419374
ExterCond,0.9824745565628532,GarageFinish,-3251.7417172812065,0.07255080260697329,-1.7991911330997097,1807.335339452786,BsmtCond,0.0034032908898370823,YearBuilt,0.000565842459972199
BsmtQual,0.9543785780912403,GarageCond,-10072.303506685996,0.07673428100580916,-1.7733754548810925,5679.735489155825,BsmtUnfSF,0.0033735770339130056,OpenPorchSF,0.0004725264736920143
